Date	,Price	,Open	,High	,Low	,Vol.	,Change %
08/28/2025	19,089	18,999	19,129	18,782	153.40K	1.76%
08/27/2025	18,758	18,907	18,943	18,688	1.97M	-0.62%
08/26/2025	18,875	19,000	19,047	18,827	3.86M	-1.87%
08/25/2025	19,235	19,451	19,451	19,235	2.61M	-0.42%
08/22/2025	19,316	18,800	19,317	18,676	3.75M	3.18%
08/21/2025	18,721	18,735	18,850	18,600	1.73M	-0.13%
08/20/2025	18,745	18,721	18,942	18,720	1.53M	-0.45%
08/19/2025	18,830	18,830	19,041	18,619	1.93M	-0.45%
08/18/2025	18,915	19,570	19,570	18,714	2.99M	-0.82%
08/15/2025	19,072	19,069	19,251	18,947	2.16M	0.02%
08/14/2025	19,068	18,750	19,225	18,695	3.52M	1.10%
08/13/2025	18,860	18,390	18,864	18,317	3.21M	2.57%
08/12/2025	18,387	18,088	18,387	18,088	2.08M	1.74%
08/11/2025	18,073	17,899	18,172	17,794	2.60M	1.79%
08/08/2025	17,756	17,684	17,903	17,658	3.09M	-0.01%
08/07/2025	17,757	17,927	17,927	17,576	1.83M	-0.24%
08/06/2025	17,799	17,782	17,912	17,704	1.35M	0.16%
08/05/2025	17,770	17,938	18,090	17,690	2.19M	-0.96%
08/04/2025	17,943	18,101	18,101	17,771	2.44M	0.41%
08/01/2025	17,870	17,945	18,088	17,608	2.32M	-0.97%
07/31/2025	18,045	17,750	18,073	17,601	2.32M	0.91%
07/30/2025	17,882	17,820	17,957	17,630	1.82M	0.55%
07/29/2025	17,784	17,639	17,874	17,595	1.91M	0.82%
07/28/2025	17,639	17,730	17,730	17,351	1.71M	0.90%
